ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID197356019,179 Beverley Rd,3,h,1224000.0,26/08/2017,1.0,2.0,609.0,59.0,-37.74351,145.07965
ID613648894,37 Brook St,3,h,1400000.0,28/08/2016,2.0,1.0,164.0,129.0,-37.8159,145.0219
ID157058209,23 Park St,2,h,1015000.0,23/09/2017,1.0,1.0,145.0,89.0,-37.7754,144.99275
ID402571587,157 Bastings St,5,h,1750000.0,13/05/2017,2.0,0.0,406.0,119.0,-37.7751,145.0099
ID464183434,5 Ballater St,5,h,1756000.0,17/09/2016,2.0,5.0,963.0,69.0,-37.7501,144.9048
ID354237013,526 Orrong Rd,4,h,3000000.0,4/06/2016,2.0,2.0,1581.0,85.0,-37.858000000000004,145.0111
ID512671908,173 Cumberland Rd,4,h,723000.0,22/05/2016,1.0,2.0,485.0,59.0,-37.7239,144.9395
ID746586081,32 Rose St,1,h,800000.0,18/03/2017,1.0,4.0,330.0,49.0,-37.7577,144.9524
ID174827521,7 Rosina St,4,h,1920000.0,20/05/2017,2.0,2.0,650.0,23.0,-37.9323,145.0445
ID182292223,10 Canning St,4,h,2920000.0,3/09/2016,3.0,4.0,310.0,139.0,-37.7958,144.944
ID695810285,2/7 Mattea Ct,2,u,360000.0,13/08/2016,1.0,1.0,139.0,7.0,-37.7327,145.0347
ID492784352,34 Parker St,3,h,1210000.0,18/03/2017,1.0,1.0,794.0,59.0,-37.7569,145.1179
ID743437183,304/38 Nott St,2,u,795000.0,6/08/2016,2.0,1.0,579.0,6.0,-37.8416,144.9381
ID432844815,28 Moubray St,2,h,2015000.0,3/06/2017,1.0,2.0,178.0,129.0,-37.84098,144.95115
ID895076382,8 Princes St,3,h,1150000.0,8/04/2017,1.0,0.0,308.0,119.0,-37.8526,144.895
ID376704737,121 Murray Rd,4,h,830000.0,3/06/2017,1.0,2.0,540.0,54.0,-37.73935,145.01516999999996
ID405205406,4 Goulburn Wy,4,h,800000.0,22/07/2017,3.0,6.0,876.0,8.0,-37.6899,144.78346000000005
ID640980504,1/23 Eildon Rd,3,u,1190000.0,29/04/2017,1.0,1.0,460.0,64.0,-37.8623,144.9772
ID123979657,2/41 Kangaroo Rd,3,u,1220500.0,24/06/2017,2.0,2.0,462.0,54.0,-37.89767,145.07332
ID265872394,5 Filbert St,3,h,1314000.0,10/09/2016,1.0,2.0,339.0,89.0,-37.8906,145.0221
ID848481798,9 Appleby Ct,3,h,717500.0,26/08/2017,1.0,1.0,554.0,34.0,-37.78514000000001,144.84561000000005
ID419768037,4/38 Alma St,2,u,650000.0,27/05/2017,2.0,2.0,248.0,24.0,-37.72473,145.11657
ID579690666,17 Payne St,3,h,586000.0,23/09/2017,1.0,1.0,534.0,59.0,-37.686409999999995,144.88487
ID878947497,4/5 Miles St,2,u,595000.0,8/04/2017,1.0,1.0,0.0,21.0,-37.8288,144.9679
ID649744742,89 Pearson St,3,h,942000.0,4/03/2017,1.0,0.0,358.0,99.0,-37.7642,144.9493
ID375018012,6 Blenheim St,3,h,1193000.0,18/06/2016,1.0,1.0,178.0,99.0,-37.8663,144.9948
ID339947436,1A Abassia St,3,t,1557000.0,17/06/2017,2.0,2.0,292.0,9.0,-37.80259,145.09878
ID143157740,14 Verdun St,5,h,1650000.0,12/06/2016,5.0,2.0,693.0,89.0,-37.8339,145.0937
ID799674712,64 Queen St,4,h,1360000.0,22/07/2017,2.0,4.0,615.0,49.0,-37.87057,144.83623
ID675528319,6 Murumba St,4,h,865000.0,16/09/2017,2.0,2.0,734.0,39.0,-37.6929,145.1272
ID229537711,1/164 Cornwall Rd,3,u,490000.0,10/12/2016,1.0,1.0,301.0,69.0,-37.7793,144.8427
ID467464685,1018 Drummond St,4,h,2520000.0,16/04/2016,2.0,2.0,504.0,129.0,-37.7805,144.9721
ID372105811,3/11 Ormond Rd,2,u,410000.0,26/07/2016,1.0,1.0,0.0,49.0,-37.903,145.0452
ID707728228,13 Lucifer St,4,h,1670000.0,11/03/2017,3.0,2.0,689.0,27.0,-37.7871,145.0843
ID252107465,129 Glenlyon Rd,3,h,1652000.0,6/05/2017,1.0,2.0,506.0,98.0,-37.7723,144.9694
ID223862277,63 Tucker Rd,4,t,1245000.0,28/08/2016,2.0,2.0,345.0,49.0,-37.9291,145.0491
ID260589927,36 Charles St,4,h,1875000.0,27/06/2016,2.0,2.0,657.0,61.0,-37.7725,144.964
ID779364761,8 Howqua Ct,4,h,1260000.0,23/09/2017,2.0,3.0,682.0,46.0,-37.84454,145.18881000000005
ID770867102,8 Murray Dr,3,h,1588000.0,19/08/2017,2.0,2.0,708.0,54.0,-37.84625,145.10116000000005
ID914823940,26 Kirkwood Av,5,h,3350000.0,12/08/2017,4.0,4.0,700.0,44.0,-37.95762,145.01418
ID812891117,1/36 Pleasant Rd,4,t,1738000.0,15/10/2016,3.0,2.0,324.0,17.0,-37.8348,145.0503
ID674654735,3 Camden Rd,2,h,2920000.0,10/12/2016,1.0,3.0,791.0,91.0,-37.8251,145.0385
ID920768655,95 Pellatt St,4,h,1611000.0,12/08/2017,2.0,2.0,650.0,64.0,-37.98354000000001,145.04261
ID399294821,33 Dunbarton Dr,4,h,908000.0,29/07/2017,2.0,1.0,815.0,39.0,-37.84839,145.24191000000005
ID297311690,2/481 St Kilda St,3,t,1360000.0,27/05/2017,2.0,2.0,797.0,22.0,-37.8867,144.99141
ID640355007,13/30 Maroo St,3,u,855000.0,4/03/2017,1.0,2.0,0.0,99.0,-37.8909,145.0807
ID974236896,12 The Summit,4,h,1085000.0,27/05/2017,2.0,2.0,798.0,49.0,-37.79395,145.21878
ID584693916,3 Murphy St,3,h,1470000.0,17/09/2016,1.0,0.0,232.0,89.0,-37.7977,144.9512
ID484268388,382 Wellington St,2,h,855000.0,12/11/2016,1.0,0.0,130.0,129.0,-37.7953,144.9882
ID342236890,742 Barkly St,3,h,1415000.0,4/02/2016,1.0,6.0,970.0,64.0,-37.7958,144.8645
ID951362150,1/164 Leamington St,1,u,216000.0,24/09/2016,1.0,1.0,0.0,49.0,-37.7111,144.9919
ID951116086,2/21 Oakes Av,2,u,575000.0,3/09/2017,1.0,2.0,914.0,49.0,-37.93524,145.1306
ID152406525,4/71 Station Rd,2,t,400000.0,8/07/2017,1.0,1.0,102.0,7.0,-37.711220000000004,144.91863
ID366337426,17 New St,3,h,1900000.0,6/08/2016,0.0,0.0,0.0,26.0,-37.9301,144.9935
ID191830654,34 Ayr St,3,h,826000.0,28/08/2016,1.0,4.0,192.0,49.0,-37.7837,145.1027
ID508022420,4/32 Linacre Rd,2,u,750000.0,18/06/2016,1.0,2.0,153.0,49.0,-37.9429,145.0049
ID977121146,11/1 Windsor St,2,t,475000.0,25/02/2017,1.0,1.0,115.0,39.0,-37.7948,144.85399999999996
ID762847209,42 Marlborough St,2,u,835000.0,17/09/2016,2.0,1.0,362.0,59.0,-37.9149,145.0676
ID181912643,38 Simpson St,3,h,1275000.0,25/02/2017,1.0,2.0,229.0,109.0,-37.8172,144.8919
ID661545191,7 Reddan Ct,4,h,1460800.0,19/11/2016,3.0,2.0,654.0,49.0,-37.7856,145.1088
ID599764058,61 Station Rd,3,h,990000.0,12/11/2016,1.0,0.0,371.0,109.0,-37.8066,144.8853
ID211294492,14 Sturdee Rd,3,h,904000.0,15/07/2017,1.0,2.0,720.0,59.0,-37.803490000000004,145.19666
ID813296094,7 Hanson Ct,5,h,1300000.0,27/05/2017,3.0,2.0,771.0,109.0,-37.68166,144.77421999999999
ID887332437,2/25 Harold St,2,u,425500.0,15/07/2017,1.0,1.0,1727.0,59.0,-37.77341,144.9013
ID163822045,68b Derby St,4,h,1310000.0,12/06/2016,2.0,2.0,282.0,49.0,-37.7709,145.0057
ID902770166,23 Maud St,2,h,1350000.0,18/03/2017,1.0,2.0,467.0,69.0,-37.7945,145.067
ID961072738,2/12 Blenheim St,2,u,495000.0,8/10/2016,1.0,1.0,96.0,59.0,-37.9102,145.0709
ID418739095,1/4 Hill St,2,u,665000.0,23/04/2016,1.0,3.0,0.0,54.0,-37.8183,145.0194
ID510865603,1/2 Griffiths St,4,t,1030000.0,10/12/2016,2.0,2.0,216.0,24.0,-37.8887,145.0318
ID460841506,18 Norton St,3,h,586000.0,27/06/2016,1.0,1.0,701.0,59.0,-37.7843,144.8052
ID205807638,30 Alexander St,3,h,1297000.0,8/07/2017,2.0,0.0,186.0,129.0,-37.79557,144.99158
ID237451364,6 Aquila St,5,h,3000000.0,26/08/2017,4.0,2.0,830.0,69.0,-37.78739,145.07388999999995
ID633885294,10 Intervale Dr,4,h,790000.0,27/11/2016,2.0,2.0,570.0,24.0,-37.7513,144.859
ID748906880,1/217 Woods St,3,h,785000.0,4/03/2017,2.0,2.0,0.0,6.0,-37.8447,144.8654
ID640972063,2 Tennyson St,4,h,2001000.0,15/10/2016,2.0,2.0,526.0,109.0,-37.8771,145.0505
ID231142866,6/5 Liardet St,2,u,816000.0,24/06/2017,1.0,1.0,0.0,19.0,-37.84237,144.94486
ID924327016,15 Whyte St,3,h,2266000.0,4/03/2017,2.0,2.0,450.0,22.0,-37.9243,144.9989
ID822621698,16 Milford St,2,h,760000.0,28/08/2016,1.0,2.0,255.0,89.0,-37.8469,144.8766
ID816583047,36 Tyrone St,3,h,1540000.0,28/05/2016,2.0,1.0,149.0,16.0,-37.8448,144.9882
ID124321671,333 The Boulevard,5,h,1797000.0,22/05/2016,3.0,3.0,826.0,64.0,-37.7793,145.0654
ID705008869,191 Ohea St,4,h,905000.0,4/06/2016,2.0,1.0,439.0,109.0,-37.7363,144.9507
ID160404916,155 Westbourne Gr,3,h,1510000.0,30/07/2016,1.0,3.0,327.0,119.0,-37.7741,144.9971
ID117369247,4/12 Ellesmere Rd,2,u,800000.0,7/05/2016,1.0,1.0,0.0,89.0,-37.8577,145.0002
ID841610201,11 Arden Ct,4,h,2162000.0,3/06/2017,2.0,3.0,794.0,69.0,-37.79172,145.05863
ID131237828,54 Devon Dr,3,h,1120000.0,29/07/2017,1.0,1.0,725.0,54.0,-37.79509,145.15591
ID262493948,3 Hayball Ct,4,h,2415000.0,20/05/2017,3.0,2.0,402.0,44.0,-37.9037,144.9926
ID275222647,4/18 Shaftesbury St,1,u,280000.0,27/05/2017,1.0,1.0,28.0,49.0,-37.75209,144.92255
ID203822434,16 Drew St,3,h,935000.0,4/03/2017,1.0,2.0,662.0,8.0,-37.738,144.869
ID155491898,41 Shelley St,3,h,1465000.0,12/11/2016,2.0,2.0,233.0,26.0,-37.8122,144.9937
ID445867907,4/175 Chetwynd St,2,u,720000.0,10/12/2016,2.0,1.0,0.0,21.0,-37.8015,144.9526
ID986185559,101 Ellesmere Pde,4,h,1020000.0,7/05/2016,2.0,2.0,843.0,79.0,-37.7348,145.0656
ID400129573,49 Metung St,5,h,3400000.0,18/06/2016,6.0,4.0,739.0,29.0,-37.8039,145.0714
ID774662680,24 South St,3,t,750000.0,12/06/2016,2.0,2.0,301.0,8.0,-37.715,144.9475
ID908687535,7 Kenneth St,3,h,1100000.0,4/03/2017,2.0,3.0,490.0,69.0,-37.7413,145.0203
ID352948793,17 Barclay Dr,3,h,877000.0,24/06/2017,1.0,2.0,533.0,54.0,-37.96257,145.08252
ID927911375,5 Konrad St,3,h,1040000.0,27/11/2016,1.0,2.0,625.0,23.0,-37.927,145.0645
ID955017917,34 Cobden St,2,h,1275000.0,19/11/2016,1.0,0.0,381.0,3.0,-37.8033,145.036
ID980166030,6 Tilley St,3,h,1145000.0,27/05/2017,1.0,2.0,584.0,69.0,-37.96911,145.07271
ID146693456,1/285 Thompsons Rd,4,t,1010000.0,3/06/2017,3.0,2.0,332.0,6.0,-37.76577,145.10728999999995
ID180646247,29 Tait St,2,h,1325000.0,28/08/2016,1.0,0.0,160.0,114.0,-37.783,144.9866
ID440488203,3/595 Burke Rd,2,t,775000.0,27/11/2016,2.0,1.0,103.0,59.0,-37.8406,145.0545
ID282173188,38 Upland Rd,3,h,1742000.0,12/08/2017,2.0,3.0,697.0,64.0,-37.74057,144.92172
ID209309897,3 David Rd,4,h,1050000.0,27/05/2017,2.0,2.0,1529.0,19.0,-37.74113,145.22308999999996
ID214778724,202/51 Gordon St,1,u,85000.0,3/09/2016,1.0,0.0,0.0,12.0,-37.7911,144.89
ID212594361,25 Chelmsford St,2,h,960000.0,26/07/2016,1.0,0.0,179.0,119.0,-37.7963,144.9327
ID840851714,11 Wilson St,4,h,2620000.0,28/08/2016,4.0,2.0,579.0,7.0,-37.9155,145.0243
ID761726337,57A Binbrook Dr,3,h,730000.0,12/08/2017,2.0,2.0,269.0,12.0,-37.78499,145.2647
ID780042362,87 Silver St,3,h,842000.0,3/06/2017,1.0,1.0,960.0,49.0,-37.709,145.14131
ID182537314,20 Orlit Ct,3,h,647000.0,16/09/2017,2.0,4.0,614.0,99.0,-37.64035,145.05624
ID929451865,7 Stanley St,4,h,3225000.0,27/05/2017,3.0,3.0,803.0,39.0,-37.9146,145.00535
ID202634595,9/24 Dongola Rd,3,h,900000.0,24/09/2016,2.0,3.0,446.0,13.0,-37.7923,144.8814
ID964782368,26a Violet St,3,u,891000.0,15/10/2016,2.0,1.0,0.0,104.0,-37.7546,144.9134
ID969599958,318/6 Lisson Gr,1,u,485000.0,28/08/2016,1.0,1.0,0.0,19.0,-37.8264,145.02700000000004
ID859889169,3/16 Wheeler St,3,u,932000.0,15/10/2016,2.0,1.0,180.0,22.0,-37.9069,145.041
ID665150951,7 Lockwood St,4,h,1450000.0,16/09/2017,2.0,2.0,689.0,79.0,-37.93031,145.03816
ID354683020,28 Blair St,2,h,1100000.0,10/09/2016,1.0,0.0,153.0,119.0,-37.7705,144.9647
ID678588086,16 Riverview Rd,3,h,1890000.0,19/08/2017,2.0,1.0,632.0,79.0,-37.79094,145.07899
ID320276020,1/9 Indwe St,3,t,620000.0,15/10/2016,1.0,2.0,255.0,18.0,-37.8038,144.8679
ID444679353,4 Bell St,4,h,1790000.0,27/06/2016,1.0,1.0,416.0,99.0,-37.7737,144.965
ID218027246,5/232 Nicholson St,1,u,310000.0,17/06/2017,1.0,0.0,0.0,131.0,-37.80376,144.89862
ID267002542,2/33 Oakleigh Rd,2,t,930000.0,10/12/2016,2.0,1.0,166.0,10.0,-37.8982,145.0488
ID662691804,24 Columbia St,3,h,1110000.0,9/09/2017,1.0,2.0,704.0,49.0,-37.93409000000001,145.08383
ID227878330,54 Warralong Av,3,h,896000.0,15/07/2017,2.0,1.0,653.0,49.0,-37.71846,145.09689
ID630256769,21 Ardyne St,4,h,1610000.0,15/10/2016,2.0,2.0,660.0,99.0,-37.8932,145.0681
ID286455064,82 Southern Rd,3,h,650000.0,16/04/2016,1.0,2.0,582.0,64.0,-37.7422,145.05
ID907420161,5 Alma Ct,5,h,1530000.0,22/07/2017,3.0,2.0,851.0,44.0,-37.78109,145.13745
ID865493781,27 Sunhill Rd,4,h,1825000.0,17/09/2016,3.0,2.0,366.0,20.0,-37.8503,145.0586
ID209309897,3 David Rd,4,h,1050000.0,27/05/2017,2.0,2.0,1529.0,19.0,-37.74113,145.22308999999996
ID450676879,8/46 Kororoit Creek Rd,2,u,460000.0,11/03/2017,1.0,1.0,0.0,40.0,-37.8573,144.8854
ID174010162,297 Ross St,4,h,2625000.0,3/09/2017,3.0,2.0,202.0,119.0,-37.83247,144.94212
ID333328108,2/709 Pascoe Vale Rd,3,u,470000.0,18/06/2016,1.0,2.0,187.0,5.0,-37.7098,144.9163
ID387805417,8 Campbell St,3,h,1528500.0,4/03/2017,1.0,1.0,375.0,89.0,-37.8015,145.0505
ID856020717,104 Wright St,3,h,570000.0,19/11/2016,1.0,2.0,535.0,49.0,-37.7956,144.8292
ID356025624,64 Henkel St,3,h,990000.0,19/11/2016,2.0,1.0,194.0,59.0,-37.7653,144.9567
ID779041112,305/45 York St,1,u,402000.0,17/09/2016,1.0,1.0,0.0,119.0,-37.813,144.993
ID427518125,94 Burlington St,3,h,880000.0,7/11/2016,1.0,1.0,670.0,94.0,-37.9033,145.1006
ID443454374,145a Victory Rd,2,u,440000.0,13/08/2016,1.0,1.0,192.0,26.0,-37.7177,144.8787
ID140507885,49 Phoenix Dr,5,h,1223000.0,27/05/2017,3.0,2.0,762.0,7.0,-37.91199,145.18419
ID664266566,4/51 Spenser St,2,u,760000.0,27/11/2016,1.0,0.0,0.0,89.0,-37.8718,144.9776
ID372105811,3/11 Ormond Rd,2,u,410000.0,26/07/2016,1.0,1.0,0.0,49.0,-37.903,145.0452
ID588310580,1/44 Shady Gr,4,t,1175000.0,8/07/2017,3.0,2.0,289.0,8.0,-37.82895,145.17678
ID304372037,102/159 Beach St,2,u,950000.0,22/04/2017,2.0,1.0,98.0,14.0,-37.8392,144.9257
ID620142979,83 Scott St,3,t,890500.0,15/10/2016,2.0,1.0,213.0,69.0,-37.7631,144.9073
ID538872730,57 Yarralea St,3,t,1285000.0,13/05/2017,2.0,2.0,528.0,52.0,-37.7817,145.0319
ID900278601,32c Burns St,2,t,510000.0,22/08/2016,1.0,2.0,118.0,5.0,-37.787,144.8748
ID473660834,426 Dorcas St,4,h,1800000.0,12/08/2017,3.0,1.0,153.0,119.0,-37.83591,144.94963
ID909436142,36 Windsor St,3,h,932000.0,13/08/2016,1.0,1.0,451.0,109.0,-37.8023,144.8915
ID428637658,8/236 Wattletree Rd,1,u,405000.0,27/06/2016,1.0,1.0,0.0,109.0,-37.8637,145.0373
ID514695709,3 Leopold St,2,h,886000.0,17/09/2016,1.0,2.0,467.0,69.0,-37.7345,144.9977
ID884032917,640B Hampton St,2,t,960000.0,10/12/2016,1.0,2.0,363.0,7.0,-37.9275,145.0046
ID885242004,4 Ida St,3,h,1100000.0,27/06/2016,1.0,1.0,655.0,69.0,-37.7459,144.8906
ID498844724,250 Arthur St,3,h,1145000.0,28/08/2016,1.0,3.0,590.0,17.0,-37.7673,145.02100000000004
ID961289375,50 Bamfield St,4,h,2700000.0,9/09/2017,2.0,1.0,722.0,129.0,-37.94804,145.00756
ID444145414,33 River St,4,h,1215000.0,24/09/2016,3.0,4.0,613.0,69.0,-37.7799,144.8879
ID941061564,5 Charles St,4,h,2010000.0,10/12/2016,2.0,2.0,659.0,89.0,-37.8509,145.0916
ID763462974,19 The Strand,4,h,1250000.0,27/05/2017,2.0,2.0,560.0,14.0,-38.00512,145.14935
ID640814862,59 Winton Rd,3,h,2550000.0,26/08/2017,2.0,3.0,1170.0,69.0,-37.87253,145.0705
ID329996506,41 Felix Cr,4,h,812000.0,12/08/2017,2.0,2.0,962.0,14.0,-37.80161,145.22151000000005
ID874668153,280 Nott St,2,h,1355000.0,17/06/2017,1.0,0.0,156.0,69.0,-37.83343,144.94554
ID596167638,5 Kendall St,3,h,1265000.0,4/03/2017,2.0,1.0,465.0,69.0,-37.7471,144.9877
ID555892909,2/35 Boisdale St,2,u,825000.0,13/05/2017,1.0,2.0,180.0,49.0,-37.8351,145.10299999999995
ID925506326,37 Orange St,3,h,1270000.0,12/11/2016,1.0,2.0,694.0,10.0,-37.9174,145.0779
ID573672536,239 Victoria Rd,3,h,1000000.0,24/09/2016,1.0,1.0,440.0,89.0,-37.7663,145.0118
ID328192979,30 Sherwin St,3,h,601000.0,29/07/2017,2.0,1.0,972.0,23.0,-37.51232,145.13282
ID463933212,8/25 Omama Rd,1,u,295000.0,29/07/2017,1.0,1.0,0.0,49.0,-37.89022,145.07333
ID717893040,20 Linnet St,4,h,780000.0,4/06/2016,1.0,4.0,655.0,89.0,-37.868,144.8154
ID223969988,32 Geddes St,4,h,1110000.0,27/11/2016,2.0,1.0,349.0,99.0,-37.7775,144.91299999999995
ID302140911,12 Irma Gr,3,h,1017500.0,22/04/2017,1.0,1.0,620.0,8.0,-37.7303,144.9445
ID242533768,2/25 Brooks St,3,u,800000.0,28/05/2016,2.0,2.0,261.0,59.0,-37.9163,145.0779
ID978893103,14 Finlay St,4,h,1028000.0,25/02/2017,2.0,2.0,431.0,99.0,-37.8186,144.8764
ID784539306,2/118 Bruce St,3,t,640000.0,10/12/2016,1.0,2.0,119.0,24.0,-37.7403,144.9491
ID177740912,31 Southampton St,3,h,860500.0,17/09/2016,2.0,2.0,322.0,39.0,-37.7963,144.8862
ID899106936,7/5 Allard St,2,u,370000.0,27/06/2016,1.0,1.0,0.0,49.0,-37.7686,144.9421
ID718875786,107 Willis St,5,h,2980000.0,19/11/2016,3.0,2.0,694.0,8.0,-37.9372,145.0101
ID246171657,46 Meredith St,3,h,1335000.0,19/08/2017,1.0,1.0,697.0,39.0,-37.6882,144.92541
ID796370805,74 Devereaux St,3,h,840000.0,17/06/2017,1.0,1.0,722.0,59.0,-37.71433,144.90616
ID499558280,46 Chambers Rd,5,h,1500000.0,8/07/2017,3.0,2.0,1068.0,19.0,-37.83794,144.84231
ID313297814,22 Shannon Ct,5,h,955000.0,24/06/2017,3.0,2.0,619.0,44.0,-37.97545,145.12053999999995
ID355069339,10 View Ct,4,h,737500.0,27/05/2017,2.0,2.0,704.0,15.0,-37.68175,144.74087
ID933728739,72 Ramsden St,3,h,1660000.0,13/05/2017,1.0,2.0,290.0,115.0,-37.7906,144.9993
ID269931015,18 Patricia St,3,h,1020000.0,27/11/2016,1.0,2.0,596.0,59.0,-37.9251,145.0771
ID423010545,73 Park St,4,h,910000.0,27/11/2016,2.0,0.0,934.0,21.0,-37.7232,144.923
ID136910697,13 Apollo Rd,3,h,685000.0,29/07/2017,1.0,2.0,678.0,15.0,-37.70892,144.80087
ID578900953,4 Box Ct,3,h,1640000.0,29/04/2017,1.0,2.0,733.0,49.0,-37.9219,145.0518
ID799553222,87 Palmerston St,3,h,1263000.0,9/09/2017,1.0,1.0,110.0,139.0,-37.79667,144.97204
ID957523631,5/3 Lennox St,2,u,420000.0,10/09/2016,1.0,1.0,0.0,69.0,-37.7701,144.9079
ID542515120,87 Orrong Rd,3,h,1750000.0,19/11/2016,2.0,2.0,517.0,119.0,-37.8813,145.0063
ID961799543,16 Stennis St,4,h,955000.0,4/03/2017,2.0,2.0,686.0,69.0,-37.731,144.9486
ID608138133,7 Collinson St,3,h,690000.0,17/06/2017,1.0,2.0,650.0,41.0,-37.72529,144.85682
ID748775833,13 Melaleuca Av,6,h,2000000.0,29/07/2017,3.0,2.0,1054.0,49.0,-37.77404,145.11703
ID461422702,31 Fenwick St,2,h,1450000.0,18/03/2017,1.0,0.0,156.0,129.0,-37.7892,144.9999
ID961699749,42 Henshall Rd,3,h,1285000.0,30/07/2016,2.0,2.0,616.0,59.0,-37.7373,144.9155
ID503548152,25 Agnew St,4,h,1650000.0,22/05/2016,2.0,4.0,506.0,22.0,-37.9111,145.0108
ID769843879,4/66 Alma Rd,2,u,535000.0,19/11/2016,1.0,1.0,0.0,6.0,-37.861,144.9891
ID853226585,62 Clifton St,4,h,1350000.0,12/11/2016,2.0,2.0,815.0,64.0,-37.794000000000004,145.1019
ID968910513,4 Lysterfield Dr,5,h,800000.0,8/07/2017,3.0,2.0,544.0,11.0,-37.61079,144.90823
ID259757332,79 Christmas St,2,h,1170000.0,18/06/2016,1.0,3.0,453.0,99.0,-37.7666,145.0132
ID668851437,1/22 Gerald St,4,t,1100000.0,4/03/2017,3.0,2.0,286.0,29.0,-37.8958,145.0696
ID374269925,255 Elgar Rd,4,h,1300000.0,10/09/2016,2.0,2.0,809.0,69.0,-37.8337,145.1118
ID286812230,3/76 Southernhay St,2,t,668500.0,1/07/2017,2.0,1.0,138.0,5.0,-37.72487,145.00705
ID910882524,27 Gerald St,4,h,1850000.0,16/09/2017,2.0,2.0,628.0,7.0,-37.82942,145.16714
ID937123451,63 Kent St,2,h,751000.0,7/05/2016,1.0,1.0,118.0,129.0,-37.7807,144.9288
ID891077959,67 Norwood St,3,h,621000.0,20/05/2017,1.0,3.0,547.0,49.0,-37.7765,144.8123
ID961072738,2/12 Blenheim St,2,u,495000.0,8/10/2016,1.0,1.0,96.0,59.0,-37.9102,145.0709
ID985646929,16/74 Thomas St,2,t,345000.0,15/07/2017,1.0,1.0,305.0,20.0,-37.6522,145.09261
